Name,Age,Quantity,Product Type,Distributor,Base Price,Margin,Total Price,Sold By,Date,Membership Number
Alina,37,15,Silk Sarees,India,1596,157,9252,Alina Tuberfield,5/14/2024,01JGGCHADK9GJRDZK1S1GQ8R84
Lia,38,6,Modern Sarees,India,232,110,9021,Lia Gregore,12/29/2022,01JGGCHADMJ71XVBXH7QWZ6ZWZ
Hedi,66,5,Silk Sarees,India,9972,183,3827,Hedi Ingerith,5/8/2023,01JGGCHADPGM7QB82PPRF6KD3P
Phaidra,51,2,Regional Specials,India,9964,158,397,Phaidra Lucia,7/20/2023,01JGGCHADQBJTTXJSX67HM085N
Jeniffer,63,10,Silk Sarees,India,4241,28,5199,Jeniffer Sturm,10/13/2022,01JGGCHADR7TFEXVJWDTBFMTY3
Elisabeth,26,7,Modern Sarees,India,706,307,1716,Elisabeth Groundwator,1/3/2023,01JGGCHADSVSQGKJND3PS7Q61H
Aridatha,20,5,Cotton Sarees,India,6917,196,7785,Aridatha Gerhold,4/5/2023,01JGGCHADT13R3M233GPG46805
Leyla,26,10,Embroidered Sarees,India,926,298,6679,Leyla O'Toole,10/5/2024,01JGGCHADV422XEFHDD8YFY06E
Kirstin,49,12,Regional Specials,India,4745,257,6149,Kirstin Clelland,5/29/2023,01JGGCHADW4G3FHD93N61G47GM
Darryl,21,13,Modern Sarees,India,7069,136,3406,Darryl Franzetti,12/15/2023,01JGGCHADY4ZFC5YR39ZKEY3QZ
Chelsy,31,5,Cotton Sarees,India,4038,116,5317,Chelsy Verbeke,11/18/2023,01JGGCHADZSE26X4VBY0M7XZ9C
Corabella,57,10,Embroidered Sarees,India,2805,333,4764,Corabella Yare,12/27/2022,01JGGCHAE0022YT4F14MGZQEC0
Janaye,39,8,Cotton Sarees,India,9226,38,9833,Janaye Kitchingman,7/7/2022,01JGGCHAE1GYVM9END277YQZ74
Myrah,39,8,Handloom Sarees,India,9246,73,7412,Myrah Treble,11/25/2022,01JGGCHAE201Z2MGYMG3HARWVD
Jackquelin,45,2,Regional Specials,India,6331,181,6050,Jackquelin Louca,11/7/2024,01JGGCHAE342SWCXD0A6A0FR0P
Concettina,60,1,Cotton Sarees,India,1387,114,8567,Concettina Leney,3/24/2024,01JGGCHAE51MRQ7EBRVGFQP4YJ
Halley,54,4,Silk Sarees,India,1737,129,2933,Halley Westphal,10/20/2024,01JGGCHAE61MWWX4Y2PGKE1K6H
Katrina,56,3,Silk Sarees,India,4409,305,8849,Katrina Tomich,2/19/2023,01JGGCHAE8K88K814GQV38B5ER
Hedwig,29,1,Modern Sarees,India,8405,138,1351,Hedwig Setter,3/8/2024,01JGGCHAE9A9ZKA7GE7P05MC99
Maxine,33,10,Cotton Sarees,India,6091,28,6529,Maxine Raysdale,6/12/2022,01JGGCHAEAT0RS5R0QVEETD4QV
Megen,74,11,Cotton Sarees,India,5876,76,3744,Megen Ronayne,12/16/2023,01JGGCHAEBYVFXQ9FTDZ7NZP4Q
Thomasine,71,6,Silk Sarees,India,1747,93,1791,Thomasine Castaignet,6/21/2022,01JGGCHAEC2VAK3Q23KDC59T3D
Stephani,44,14,Embroidered Sarees,India,4237,174,5065,Stephani Rosenbarg,5/16/2023,01JGGCHAEDJTVTDPV1QVVSZM2X
Trudi,67,12,Regional Specials,India,7254,252,4757,Trudi Rosini,8/26/2022,01JGGCHAEE2BYNSZAC8MYSZT2Q
Jeane,44,4,Modern Sarees,India,4911,140,8726,Jeane Wordsley,11/24/2024,01JGGCHAEF8NW8E103DVSTP002
Roobbie,62,8,Cotton Sarees,India,4145,154,3590,Roobbie Venner,7/1/2024,01JGGCHAEG8XTDSW5J5A55TQ2J
Coraline,47,8,Silk Sarees,India,9550,369,2348,Coraline Saggs,9/25/2024,01JGGCHAEJD5210638XA7VFV0K
Wynne,23,14,Cotton Sarees,India,8390,16,5102,Wynne McBay,9/9/2022,01JGGCHAEKQVJD5KWES9NWRR0A
Pauli,46,15,Modern Sarees,India,1483,176,8192,Pauli Norewood,7/8/2024,01JGGCHAEMB722WF97NY9WRK3Y
Jacquelynn,72,11,Cotton Sarees,India,3589,84,2543,Jacquelynn Gaishson,5/24/2024,01JGGCHAEN4RWMM66P2M3AJVBW
Nolie,78,11,Handloom Sarees,India,1895,362,9848,Nolie Coppeard,12/2/2023,01JGGCHAEP36X8DJ4A0V3P5K7C
Rois,74,14,Silk Sarees,India,624,123,3279,Rois Abercrombie,12/24/2023,01JGGCHAEQY578FW8QD3DJP4DK
Colline,28,14,Regional Specials,India,5718,200,9060,Colline Dalgardno,8/25/2024,01JGGCHAER6Y4QHESRNPMB7B4P
Kara,58,15,Modern Sarees,India,1074,91,1556,Kara Vokins,9/29/2023,01JGGCHAES62NJSA5ZJNJS1XDQ
Cristi,25,6,Handloom Sarees,India,1547,179,1070,Cristi Lovie,11/15/2024,01JGGCHAETS8DAJDAXV562THCB
Yevette,38,11,Modern Sarees,India,2371,233,4380,Yevette Snadden,7/18/2022,01JGGCHAEVRCNGJXDH4001DC63
Cornela,58,5,Silk Sarees,India,5047,49,7721,Cornela Didsbury,8/23/2022,01JGGCHAEXX7KQNYQXK2W8VMMM
Mala,62,9,Embroidered Sarees,India,8502,84,4001,Mala Breens,5/17/2024,01JGGCHAEY0MQDMPZ4BW1JDY5F
Wilona,43,9,Regional Specials,India,4413,135,5177,Wilona Duffer,11/19/2022,01JGGCHAEZJ8Y9YJZQ09AP5VG8
Blinni,65,12,Cotton Sarees,India,1918,385,3303,Blinni Annon,8/25/2024,01JGGCHAF06ZZBMB5QPKQBP8DN
Camila,38,13,Embroidered Sarees,India,3190,100,3078,Camila Manclark,9/10/2022,01JGGCHAF34081PB020FF53F1T
Essie,78,8,Cotton Sarees,India,757,355,6641,Essie Wadeling,3/14/2023,01JGGCHAF504DZQ5AXRZ5CG9JZ
Katharyn,35,4,Cotton Sarees,India,2355,160,6782,Katharyn Birtwistle,10/24/2023,01JGGCHAF8904R8X5TNKGH2J9G
Ginger,34,12,Silk Sarees,India,6496,31,3757,Ginger Quaif,3/14/2024,01JGGCHAF9F0W26ATE9B2QAB0X
Michal,65,4,Cotton Sarees,India,5659,126,9741,Michal Heinig,10/27/2023,01JGGCHAFAMAH6RX5P4JJDYY9F
Arleyne,42,3,Cotton Sarees,India,9600,399,6492,Arleyne De Robertis,9/15/2022,01JGGCHAFB9H98T54QMBPKJZPY
Elisabet,42,2,Cotton Sarees,India,9553,306,8809,Elisabet Tregent,4/14/2023,01JGGCHAFCB726AHPWEJG1VPGK
Averil,40,3,Embroidered Sarees,India,3289,373,9558,Averil Dowthwaite,12/18/2022,01JGGCHAFD5W0S9BCJZX4ZXH7P
Olympie,76,14,Handloom Sarees,India,1603,277,1514,Olympie Schleswig-Holstein,1/16/2023,01JGGCHAFEK52428A05X3AE4Y8
Tandy,30,8,Embroidered Sarees,India,9109,304,3858,Tandy Batchelour,7/21/2023,01JGGCHAFFZ3Q50FZNE2HEBW1E
Isobel,78,14,Silk Sarees,India,3290,58,3496,Isobel Leguey,7/12/2023,01JGGCHAFHDMR2FFAWGM1391WB
Mariellen,80,2,Silk Sarees,India,4163,29,5569,Mariellen Very,10/20/2024,01JGGCHAFJM137SGPZ6D2SVQ6E
Berta,70,5,Silk Sarees,India,9648,139,2378,Berta Pedersen,7/2/2024,01JGGCHAFKQ3KS2CNFV783TG9Y
Charo,77,5,Cotton Sarees,India,6101,185,9642,Charo Turvie,9/1/2024,01JGGCHAFMNDFA33W89TSMFZ9R
Mag,36,10,Handloom Sarees,India,60,144,4201,Mag Maven,10/28/2022,01JGGCHAFNX5VH648W9N0NTRMA
Patrice,73,4,Modern Sarees,India,9899,215,3209,Patrice Royans,4/25/2023,01JGGCHAFPBGQC2C8VP7N0BE0J
Roxi,33,6,Silk Sarees,India,569,137,1302,Roxi Dowsett,4/7/2023,01JGGCHAFQPVEM22WETBZ78DDX
Jo-anne,65,3,Handloom Sarees,India,4462,93,1881,Jo-anne Jandera,2/18/2023,01JGGCHAFRBDEPWP1KY46DCPQ6
Grata,57,15,Regional Specials,India,8540,184,1038,Grata Stuehmeier,8/31/2022,01JGGCHAFVMM6SC621W7JY65ZE
Jaynell,59,7,Handloom Sarees,India,2113,335,3484,Jaynell Cassey,2/28/2024,01JGGCHAFWXMNR729TJNRD66JY
Delphine,72,14,Embroidered Sarees,India,4022,290,5663,Delphine Swaffield,8/27/2023,01JGGCHAFYDA6PNK7C1CP6PTD5
